time_ms,left_cmd_torque,right_cmd_torque,fl_vel,fr_vel,robot_vel
666,0.502399,-0.505599,0.0571379,-0.0575053,0
667,0.502399,-0.505599,0.0572381,-0.0576055,0
668,0.503999,-0.507199,0.0573216,-0.057689,0
669,0.503999,-0.507199,0.0574218,-0.0577891,0
670,0.505599,-0.508799,0.0575053,-0.0578726,0
671,0.505599,-0.508799,0.0576055,-0.0579728,0
672,0.507199,-0.510399,0.057689,-0.0580563,0
673,0.507199,-0.510399,0.0577891,-0.0581565,0
674,0.508799,-0.511999,0.0578726,-0.05824,0
675,0.508799,-0.511999,0.0579728,-0.0583402,0
676,0.510399,-0.5136,0.0580563,-0.0584237,0
677,0.510399,-0.5136,0.0581565,-0.0585238,0
678,0.511999,-0.5152,0.05824,-0.0586073,0
679,0.511999,-0.5152,0.0583402,-0.0587075,0
680,0.5136,-0.5168,0.0584237,-0.058791,0
681,0.5136,-0.5168,0.0585238,-0.0588912,0
682,0.5152,-0.5184,0.0586073,-0.0589747,0
683,0.5152,-0.5184,0.0587075,-0.0590748,0
684,0.5168,-0.52,0.058791,-0.0591583,0
685,0.5168,-0.52,0.0588912,-0.0592585,0
686,0.5184,-0.5216,0.0589747,-0.059342,0
687,0.5184,-0.5216,0.0590748,-0.0594422,0
688,0.52,-0.5232,0.0591583,-0.0595257,0
689,0.52,-0.5232,0.0592585,-0.0596258,0
690,0.5216,-0.5248,0.059342,-0.0597093,0
691,0.5216,-0.5248,0.0594422,-0.0598095,0
692,0.5232,-0.5264,0.0595257,-0.059893,0
693,0.5232,-0.5264,0.0596258,-0.0599932,0
694,0.5248,-0.528,0.0597093,-0.0600767,0
695,0.5248,-0.528,0.0598095,-0.0601768,0
696,0.5264,-0.5296,0.059893,-0.0602603,0
697,0.5264,-0.5296,0.0599932,-0.0603605,0
698,0.528,-0.5312,0.0600767,-0.060444,0
699,0.528,-0.5312,0.0601768,-0.0605441,0
700,0.5296,-0.5328,0.0602603,-0.0606276,0
701,0.5296,-0.5328,0.0603605,-0.0607278,0
702,0.5312,-0.5344,0.060444,-0.0608113,0
703,0.5312,-0.5344,0.0605441,-0.0609115,0
704,0.5328,-0.536,0.0606276,-0.0609949,0
705,0.5328,-0.536,0.0607278,-0.0610951,0
706,0.5344,-0.5376,0.0608113,-0.0611786,0
707,0.5344,-0.5376,0.0609115,-0.0612788,0
708,0.536,-0.5392,0.0609949,-0.0613623,0
709,0.536,-0.5392,0.0610951,-0.0614624,0
710,0.5376,-0.5408,0.0611786,-0.0615459,0
711,0.5376,-0.5408,0.0612788,-0.0616461,0
712,0.5392,-0.5424,0.0613623,-0.0617296,0
713,0.5392,-0.5424,0.0614624,-0.0618297,0
714,0.5408,-0.544,0.0615459,-0.0619132,0
715,0.5408,-0.544,0.0616461,-0.0620134,0
716,0.5424,-0.5456,0.0617296,-0.0620969,0
717,0.5424,-0.5456,0.0618297,-0.062197,0
718,0.544,-0.5472,0.0619132,-0.0622805,0
719,0.544,-0.5472,0.0620134,-0.0623807,0
720,0.5456,-0.5488,0.0620969,-0.0624641,0
721,0.5456,-0.5488,0.062197,-0.0625643,0
722,0.5472,-0.5504,0.0622805,-0.0626478,0
723,0.5472,-0.5504,0.0623807,-0.0627479,0
724,0.5488,-0.552,0.0624641,-0.0628314,0
725,0.5488,-0.552,0.0625643,-0.0629316,0
726,0.5504,-0.5536,0.0626478,-0.0630151,0
727,0.5504,-0.5536,0.0627479,-0.0631152,0
728,0.552,-0.5552,0.0628314,-0.0631987,0
729,0.552,-0.5552,0.0629316,-0.0632989,0
730,0.5536,-0.5568,0.0630151,-0.0633823,0
731,0.5536,-0.5568,0.0631152,-0.0634825,0
732,0.5552,-0.5584,0.0631987,-0.063566,0
733,0.5552,-0.5584,0.0632989,-0.0636661,0
734,0.5568,-0.56,0.0633823,-0.0637496,0
735,0.5568,-0.56,0.0634825,-0.0638498,0
736,0.5584,-0.5616,0.063566,-0.0639332,0
737,0.5584,-0.5616,0.0636661,-0.0640334,0
738,0.56,-0.5632,0.0637496,-0.0641169,0
739,0.56,-0.5632,0.0638498,-0.064217,0
740,0.5616,-0.5648,0.0639332,-0.0643005,0
741,0.5616,-0.5648,0.0640334,-0.0644006,0
742,0.5632,-0.5664,0.0641169,-0.0644841,0
743,0.5632,-0.5664,0.064217,-0.0645843,0
744,0.5648,-0.568,0.0643005,-0.0646677,0
745,0.5648,-0.568,0.0644006,-0.0647679,0
746,0.5664,-0.5696,0.0644841,-0.0648514,0
747,0.5664,-0.5696,0.0645843,-0.0649515,0
748,0.568,-0.5712,0.0646677,-0.065035,0
749,0.568,-0.5712,0.0647679,-0.0651351,0
750,0.5696,-0.572801,0.0648514,-0.0652186,0
751,0.5696,-0.572801,0.0649515,-0.0653188,0
752,0.5712,-0.574401,0.065035,-0.0654022,0
753,0.5712,-0.574401,0.0651351,-0.0655024,0
754,0.572801,-0.576001,0.0652186,-0.0655859,0
755,0.572801,-0.576001,0.0653188,-0.065686,0
756,0.574401,-0.577601,0.0654022,-0.0657695,0
757,0.574401,-0.577601,0.0655024,-0.0658696,0
758,0.576001,-0.579201,0.0655859,-0.0659531,0
759,0.576001,-0.579201,0.065686,-0.0660532,0
760,0.577601,-0.580801,0.0657695,-0.0661367,0
761,0.577601,-0.580801,0.0658696,-0.0662369,0
762,0.579201,-0.582401,0.0659531,-0.0663203,0
763,0.579201,-0.582401,0.0660532,-0.0664205,0
764,0.580801,-0.584001,0.0661367,-0.066504,0
765,0.580801,-0.584001,0.0662369,-0.0666041,0
766,0.582401,-0.585601,0.0663203,-0.0666876,0
767,0.582401,-0.585601,0.0664205,-0.0667877,0
768,0.584001,-0.587201,0.066504,-0.0668712,0
769,0.584001,-0.587201,0.0666041,-0.0669713,0
770,0.585601,-0.588801,0.0666876,-0.0670548,0
771,0.585601,-0.588801,0.0667877,-0.0671549,0
772,0.587201,-0.590401,0.0668712,-0.0672384,0
773,0.587201,-0.590401,0.0669713,-0.0673385,0
774,0.588801,-0.592001,0.0670548,-0.067422,0
775,0.588801,-0.592001,0.0671549,-0.0675221,0
776,0.590401,-0.593601,0.0672384,-0.0676056,0
777,0.590401,-0.593601,0.0673385,-0.0677057,0
778,0.592001,-0.595201,0.067422,-0.0677892,0
779,0.592001,-0.595201,0.0675221,-0.0678893,0
780,0.593601,-0.596801,0.0676056,-0.0679728,0
781,0.593601,-0.596801,0.0677057,-0.0680729,0
782,0.595201,-0.598401,0.0677892,-0.0681564,0
783,0.595201,-0.598401,0.0678893,-0.0682565,0
784,0.596801,-0.600001,0.0679728,-0.06834,0
785,0.596801,-0.600001,0.0680729,-0.0684401,0
786,0.598401,-0.601601,0.0681564,-0.0685236,0
787,0.598401,-0.601601,0.0682565,-0.0686237,0
788,0.600001,-0.603201,0.06834,-0.0687072,0
789,0.600001,-0.603201,0.0684401,-0.0688073,0
790,0.601601,-0.604801,0.0685236,-0.0688908,0
791,0.601601,-0.604801,0.0686237,-0.0689909,0
792,0.603201,-0.606401,0.0687072,-0.0690744,0
793,0.603201,-0.606401,0.0688073,-0.0691745,0
794,0.604801,-0.608001,0.0688908,-0.069258,0
795,0.604801,-0.608001,0.0689909,-0.0693581,0
796,0.606401,-0.609601,0.0690744,-0.0694416,0
797,0.606401,-0.609601,0.0691745,-0.0695417,0
798,0.608001,-0.611201,0.069258,-0.0696252,0
799,0.608001,-0.611201,0.0693581,-0.0697253,0
800,0.609601,-0.612801,0.0694416,-0.0698088,0
801,0.609601,-0.612801,0.0695417,-0.0699089,0
802,0.611201,-0.614401,0.0696252,-0.0699924,0
803,0.611201,-0.614401,0.0697253,-0.0700925,0
804,0.612801,-0.616001,0.0698088,-0.070176,0
805,0.612801,-0.616001,0.0699089,-0.0702761,0
806,0.614401,-0.617601,0.0699924,-0.0703595,0
807,0.614401,-0.617601,0.0700925,-0.0704597,0
808,0.616001,-0.619201,0.070176,-0.0705431,0
809,0.616001,-0.619201,0.0702761,-0.0706432,0
810,0.617601,-0.620801,0.0703595,-0.0707267,0
811,0.617601,-0.620801,0.0704597,-0.0708268,0
812,0.619201,-0.622401,0.0705431,-0.0709103,0
813,0.619201,-0.622401,0.0706432,-0.0710104,0
814,0.620801,-0.624001,0.0707267,-0.0710939,0
815,0.620801,-0.624001,0.0708268,-0.071194,0
816,0.622401,-0.625601,0.0709103,-0.0712774,0
817,0.622401,-0.625601,0.0710104,-0.0713776,0
818,0.624001,-0.627201,0.0710939,-0.071461,0
819,0.624001,-0.627201,0.071194,-0.0715611,0
820,0.625601,-0.628801,0.0712774,-0.0716446,0
821,0.625601,-0.628801,0.0713776,-0.0717447,0
822,0.627201,-0.630401,0.071461,-0.0718282,0
823,0.627201,-0.630401,0.0715611,-0.0719283,0
824,0.628801,-0.632002,0.0716446,-0.0720117,0
825,0.628801,-0.632002,0.0717447,-0.0721119,0
826,0.630401,-0.633602,0.0718282,-0.0721953,0
827,0.630401,-0.633602,0.0719283,-0.0722954,0
828,0.632002,-0.635202,0.0720117,-0.0723789,0
829,0.632002,-0.635202,0.0721119,-0.072479,0
830,0.633602,-0.636802,0.0721953,-0.0725624,0
831,0.633602,-0.636802,0.0722954,-0.0726626,0
832,0.635202,-0.638402,0.0723789,-0.072746,0
833,0.635202,-0.638402,0.072479,-0.0728461,0
834,0.636802,-0.640002,0.0725624,-0.0729296,0
835,0.636802,-0.640002,0.0726626,-0.0730297,0
836,0.638402,-0.641602,0.072746,-0.0731132,0
837,0.638402,-0.641602,0.0728461,-0.0732133,0
838,0.640002,-0.643202,0.0729296,-0.0732967,0
839,0.640002,-0.643202,0.0730297,-0.0733968,0
840,0.641602,-0.644802,0.0731132,-0.0734803,0
841,0.641602,-0.644802,0.0732133,-0.0735804,0
842,0.643202,-0.646402,0.0732967,-0.0736638,0
843,0.643202,-0.646402,0.0733968,-0.0737639,0
844,0.644802,-0.648002,0.0734803,-0.0738474,0
845,0.644802,-0.648002,0.0735804,-0.0739475,0
846,0.646402,-0.649602,0.0736638,-0.074031,0
847,0.646402,-0.649602,0.0737639,-0.0741311,0
848,0.648002,-0.651202,0.0738474,-0.0742145,0
849,0.648002,-0.651202,0.0739475,-0.0743146,0
850,0.649602,-0.652802,0.074031,-0.0743981,0
851,0.649602,-0.652802,0.0741311,-0.0744982,0
