time_ms,left_cmd_torque,right_cmd_torque,fl_vel,fr_vel,robot_vel
2339,3.04666,-3.08444,1.16618,-1.16224,0.0641782
2340,3.02521,-3.0968,1.16419,-1.1617,0.0642659
2341,3.02521,-3.0968,1.16238,-1.16169,0.0643268
2342,3.32521,-3.3968,1.16105,-1.16182,0.064369
2343,3.32521,-3.3968,1.16564,-1.16759,0.0644158
2344,3.02521,-3.0968,1.16951,-1.17242,0.0645112
2345,3.02521,-3.0968,1.16734,-1.17103,0.0646219
2346,3.06443,-3.10232,1.16584,-1.17015,0.0646971
2347,3.06443,-3.10232,1.16552,-1.16972,0.0647498
2348,3.36443,-3.40232,1.16539,-1.16949,0.0647908
2349,3.36443,-3.40232,1.17094,-1.17497,0.064841
2350,3.06443,-3.10232,1.17561,-1.17957,0.0649428
2351,3.06443,-3.10232,1.1741,-1.17802,0.065062
2352,3.08831,-3.11231,1.17316,-1.17703,0.0651472
2353,3.08831,-3.11231,1.17303,-1.17662,0.0652105
2354,3.38831,-3.41231,1.17308,-1.17643,0.0652616
2355,3.38831,-3.41231,1.17881,-1.18197,0.0653216
2356,3.08831,-3.11231,1.18364,-1.18664,0.0654331
2357,3.08831,-3.11231,1.18229,-1.18517,0.0655618
2358,3.10029,-2.83367,1.1815,-1.18427,0.0656564
2359,3.10029,-2.83367,1.1813,-1.1786,0.0657204
2360,3.40029,-3.13367,1.18127,-1.17414,0.0657435
2361,3.40029,-3.13367,1.18685,-1.17612,0.0657563
2362,3.10029,-3.11778,1.19143,-1.17779,0.0658078
2363,3.10029,-3.11778,1.18972,-1.179,0.0658761
2364,3.11161,-3.14478,1.1885,-1.18014,0.0659316
2365,3.11161,-3.14478,1.18786,-1.1817,0.0659796
2366,3.41161,-3.44478,1.18745,-1.18308,0.0660254
2367,3.41161,-3.44478,1.1928,-1.18988,0.0660869
2368,3.11161,-3.15942,1.19733,-1.19558,0.0662044
2369,3.11161,-3.15942,1.19576,-1.19523,0.0663425
2370,3.12369,-2.88341,1.19482,-1.19527,0.06645
2371,3.12369,-2.88341,1.19453,-1.19044,0.0665292
2372,3.42369,-3.18341,1.19447,-1.1867,0.0665693
2373,3.42369,-3.18341,1.20006,-1.18931,0.0666003
2374,3.12369,-3.15654,1.2047,-1.19154,0.0666708
2375,3.12369,-3.15654,1.20309,-1.19304,0.0667581
2376,3.13862,-3.17625,1.202,-1.19446,0.0668321
2377,3.13862,-3.17625,1.20157,-1.19616,0.0668978
2378,3.43862,-3.47625,1.20138,-1.1977,0.0669607
2379,3.43862,-3.47625,1.20695,-1.20467,0.0670388
2380,3.13862,-3.18549,1.2117,-1.21055,0.0671725
2381,3.13862,-3.18549,1.21035,-1.21029,0.0673264
2382,2.85802,-2.90696,1.20962,-1.21044,0.067449
2383,2.85802,-2.90696,1.20412,-1.20569,0.0675343
2384,3.15802,-3.20696,1.19983,-1.20201,0.0675522
2385,3.15802,-3.20696,1.20193,-1.2046,0.067542
2386,3.14098,-3.1784,1.20362,-1.20669,0.0675583
2387,3.14098,-3.1784,1.20473,-1.20791,0.0675913
2388,2.87526,-2.90573,1.20572,-1.20899,0.0676318
2389,2.87526,-2.90573,1.2017,-1.20491,0.067662
2390,3.17526,-3.20573,1.19848,-1.20165,0.0676444
2391,3.17526,-3.20573,1.20137,-1.2045,0.0676119
2392,3.18141,-3.20792,1.20365,-1.20676,0.0676149
2393,3.18141,-3.20792,1.20564,-1.20865,0.067642
2394,2.91167,-2.93704,1.20734,-1.21026,0.0676859
2395,2.91167,-2.93704,1.20382,-1.20667,0.0677256
2396,3.21167,-3.23704,1.20105,-1.20382,0.0677213
2397,3.21167,-3.23704,1.20433,-1.20704,0.0677047
2398,3.21011,-3.2359,1.20697,-1.20964,0.0677255
2399,3.21011,-3.2359,1.20915,-1.21179,0.0677711
2400,3.22681,-3.25315,1.21105,-1.21367,0.0678333
2401,3.22681,-3.25315,1.21306,-1.21567,0.0679074
2402,3.52681,-3.55315,1.21488,-1.21748,0.067992
2403,3.52681,-3.55315,1.22213,-1.22473,0.0681009
2404,3.22681,-3.25315,1.22833,-1.23092,0.0682713
2405,3.22681,-3.25315,1.22825,-1.23083,0.0684657
2406,3.23948,-3.26656,1.22865,-1.23123,0.0686304
2407,3.23948,-3.26656,1.2296,-1.2322,0.0687759
2408,3.53948,-3.56656,1.23074,-1.23334,0.0689103
2409,3.53948,-3.56656,1.23755,-1.24016,0.0690543
2410,3.23948,-3.26656,1.24347,-1.24608,0.06925
2411,3.23948,-3.26656,1.24322,-1.24584,0.0694629
2412,3.22678,-2.96656,1.24353,-1.24615,0.0696419
2413,3.22678,-2.96656,1.24398,-1.24128,0.0697888
2414,3.52678,-3.26656,1.24468,-1.23767,0.0698903
2415,3.52678,-3.26656,1.25104,-1.24054,0.0699786
2416,3.22678,-3.23541,1.25644,-1.24311,0.0701032
2417,3.22678,-3.23541,1.25558,-1.24495,0.0702426
2418,2.92902,-2.9621,1.25523,-1.24678,0.0703667
2419,2.92902,-2.9621,1.24974,-1.2435,0.0704641
2420,3.22902,-3.2621,1.24549,-1.24105,0.0705001
2421,3.22902,-3.2621,1.24766,-1.24468,0.0705121
2422,2.92902,-2.97061,1.24947,-1.24767,0.0705534
2423,2.92902,-2.97061,1.2455,-1.24481,0.0705973
2424,3.22886,-2.98853,1.24236,-1.24258,0.0705983
2425,3.22886,-2.98853,1.24536,-1.24108,0.0705794
2426,3.52886,-3.28853,1.24774,-1.23982,0.0705713
2427,3.52886,-3.28853,1.25522,-1.24435,0.0705877
2428,3.22886,-3.28187,1.26136,-1.24811,0.070666
2429,3.22886,-3.28187,1.26101,-1.25125,0.0707768
2430,2.98215,-3.01999,1.261,-1.25408,0.0708863
2431,2.98215,-3.01999,1.25669,-1.25179,0.0709801
2432,3.28215,-3.31999,1.25341,-1.25013,0.0710248
2433,3.28215,-3.31999,1.25639,-1.25444,0.0710536
2434,2.98215,-3.01999,1.25891,-1.25803,0.0711173
2435,2.98215,-3.01999,1.25556,-1.25555,0.071187
2436,2.97735,-3.02505,1.253,-1.25369,0.0712152
2437,2.97735,-3.02505,1.25089,-1.25233,0.0712157
2438,3.27735,-3.32505,1.24916,-1.25122,0.0711974
2439,3.27735,-3.32505,1.25327,-1.25581,0.0711839
2440,3.27622,-3.31257,1.25659,-1.25954,0.071219
2441,3.27622,-3.31257,1.25938,-1.26244,0.0712862
2442,3.0172,-3.04769,1.26182,-1.26497,0.071374
2443,3.0172,-3.04769,1.25923,-1.26235,0.0714604
2444,3.3172,-3.34769,1.25732,-1.26041,0.0715062
2445,3.3172,-3.34769,1.26143,-1.26449,0.0715418
2446,3.0172,-3.04769,1.26487,-1.26792,0.071616
2447,3.0172,-3.04769,1.26231,-1.26534,0.0716988
2448,3.02722,-3.05277,1.26041,-1.26343,0.0717419
2449,3.02722,-3.05277,1.25915,-1.26207,0.0717587
2450,3.32722,-3.35277,1.25816,-1.261,0.0717589
2451,3.32722,-3.35277,1.2629,-1.26568,0.0717653
2452,3.02722,-3.05277,1.2668,-1.26952,0.0718212
2453,3.02722,-3.05277,1.26457,-1.26724,0.0718931
2454,3.05304,-3.07906,1.26291,-1.26555,0.0719302
2455,3.05304,-3.07906,1.26212,-1.26475,0.0719455
2456,3.35304,-3.37906,1.26152,-1.26412,0.0719499
2457,3.35304,-3.37906,1.26659,-1.26918,0.0719644
2458,3.05304,-3.07906,1.27077,-1.27335,0.0720309
2459,3.05304,-3.07906,1.2688,-1.27137,0.0721151
2460,3.35304,-3.37906,1.26738,-1.26995,0.0721658
2461,3.35304,-3.37906,1.27191,-1.27447,0.072211
2462,3.65304,-3.67906,1.27571,-1.27827,0.0722979
2463,3.65304,-3.67906,1.28459,-1.28714,0.0724299
2464,3.35304,-3.37906,1.29217,-1.29472,0.0726375
2465,3.35304,-3.37906,1.29331,-1.29586,0.0728784
2466,3.07088,-3.09799,1.29483,-1.29737,0.0730959
2467,3.07088,-3.09799,1.29137,-1.29393,0.0732815
2468,3.37088,-3.39799,1.28898,-1.29156,0.0734027
2469,3.37088,-3.39799,1.29288,-1.29547,0.0734978
2470,3.07088,-3.09799,1.2963,-1.2989,0.0736207
2471,3.07088,-3.09799,1.29383,-1.29644,0.0737449
2472,3.04451,-2.79799,1.29212,-1.29473,0.0738244
2473,3.04451,-2.79799,1.29042,-1.28797,0.0738645
2474,3.34451,-3.09799,1.28911,-1.28256,0.0738535
2475,3.34451,-3.09799,1.29354,-1.28368,0.0738252
2476,3.04451,-3.07323,1.29709,-1.28454,0.0738309
2477,3.04451,-3.07323,1.29444,-1.2848,0.07385
2478,3.0745,-3.1073,1.29233,-1.28506,0.0738535
2479,3.0745,-3.1073,1.29118,-1.28589,0.0738484
2480,3.3745,-3.4073,1.29024,-1.28656,0.0738424
2481,3.3745,-3.4073,1.29501,-1.29264,0.073853
2482,3.0745,-3.12553,1.29894,-1.29763,0.0739201
2483,3.0745,-3.12553,1.29677,-1.29665,0.0740083
2484,3.09806,-3.14663,1.29521,-1.29606,0.0740667
2485,3.09806,-3.14663,1.29452,-1.2961,0.0741063
2486,3.39806,-3.44663,1.29405,-1.29623,0.0741365
2487,3.39806,-3.44663,1.29929,-1.30196,0.0741777
2488,3.09806,-3.14663,1.30368,-1.30674,0.0742715
2489,3.09806,-3.14663,1.30194,-1.30532,0.0743833
2490,3.11579,-3.14651,1.3008,-1.30443,0.0744618
2491,3.11579,-3.14651,1.30038,-1.30389,0.0745184
2492,3.41579,-3.44651,1.30017,-1.30358,0.0745614
2493,3.41579,-3.44651,1.30565,-1.30899,0.0746125
2494,3.11579,-3.14651,1.31026,-1.31353,0.0747144
2495,3.11579,-3.14651,1.30872,-1.31194,0.074833
2496,3.12712,-2.86055,1.30775,-1.31093,0.0749174
2497,3.12712,-2.86055,1.30737,-1.30501,0.0749709
2498,3.42712,-3.16055,1.30717,-1.30032,0.0749827
2499,3.42712,-3.16055,1.31256,-1.30208,0.0749838
2500,3.12712,-3.14175,1.31696,-1.30354,0.0750231
2501,3.12712,-3.14175,1.31509,-1.30449,0.0750788
2502,3.13722,-3.16909,1.31371,-1.30539,0.0751213
2503,3.13722,-3.16909,1.31287,-1.30673,0.0751561
2504,3.43722,-3.46909,1.31229,-1.3079,0.0751884
2505,3.43722,-3.46909,1.31744,-1.31447,0.0752362
2506,3.13722,-3.18155,1.32177,-1.31996,0.0753398
2507,3.13722,-3.18155,1.32002,-1.31937,0.0754639
2508,3.14747,-3.19802,1.3189,-1.31919,0.0755572
2509,3.14747,-3.19802,1.31839,-1.31956,0.0756304
2510,3.44747,-3.49802,1.31816,-1.32004,0.0756922
2511,3.44747,-3.49802,1.32367,-1.32613,0.0757633
2512,3.14747,-3.19802,1.32835,-1.33128,0.075886
2513,3.14747,-3.19802,1.32693,-1.33023,0.0760261
2514,3.16062,-3.19216,1.3261,-1.32971,0.0761323
2515,3.16062,-3.19216,1.32592,-1.32944,0.0762158
2516,3.46062,-3.49216,1.32598,-1.32941,0.0762846
2517,3.46062,-3.49216,1.33174,-1.3351,0.0763606
2518,3.16062,-3.19216,1.33664,-1.33994,0.0764867
2519,3.16062,-3.19216,1.3354,-1.33866,0.0766292
2520,2.87538,-2.90027,1.33472,-1.33795,0.076737
2521,2.87538,-2.90027,1.32916,-1.33223,0.0768051
2522,3.17538,-3.20027,1.32477,-1.32772,0.0768027
2523,3.17538,-3.20027,1.32672,-1.32957,0.0767702
2524,3.15345,-3.17869,1.32824,-1.33101,0.0767629
2525,3.15345,-3.17869,1.32906,-1.33177,0.0767712
2526,2.88653,-2.91221,1.32975,-1.33241,0.0767867
2527,2.88653,-2.91221,1.32541,-1.32804,0.0767918
2528,3.18653,-3.21221,1.32188,-1.32448,0.0767496
2529,3.18653,-3.21221,1.32443,-1.32702,0.0766928
2530,3.1899,-3.21643,1.32639,-1.32896,0.0766716
2531,3.1899,-3.21643,1.328,-1.33057,0.0766746
2532,3.21282,-3.23985,1.32932,-1.3319,0.0766944
2533,3.21282,-3.23985,1.33087,-1.33346,0.0767268
2534,3.51282,-3.53985,1.33222,-1.33482,0.0767711
2535,3.51282,-3.53985,1.33898,-1.34158,0.0768406
2536,3.21282,-3.23985,1.34467,-1.34728,0.0769722
2537,3.21282,-3.23985,1.3441,-1.34671,0.0771282
2538,3.23119,-3.25845,1.34401,-1.34662,0.0772551
2539,3.23119,-3.25845,1.34458,-1.3472,0.0773633
2540,3.53119,-3.55845,1.3453,-1.34793,0.0774617
2541,3.53119,-3.55845,1.35168,-1.35431,0.0775706
2542,3.23119,-3.25845,1.35716,-1.35979,0.0777317
2543,3.23119,-3.25845,1.35648,-1.35912,0.0779106
2544,3.22145,-3.24873,1.35636,-1.359,0.0780558
2545,3.22145,-3.24873,1.35643,-1.35907,0.0781777
2546,3.52145,-3.54873,1.35678,-1.35942,0.0782824
2547,3.52145,-3.54873,1.36286,-1.36551,0.0783926
2548,3.22145,-3.24873,1.3681,-1.37075,0.0785517
2549,3.22145,-3.24873,1.36722,-1.36987,0.0787263
2550,3.21714,-2.95303,1.36693,-1.36958,0.0788657
2551,3.21714,-2.95303,1.36694,-1.36421,0.0789728
2552,3.51714,-3.25303,1.36719,-1.3601,0.0790355
2553,3.51714,-3.25303,1.37307,-1.36245,0.0790854
2554,3.21714,-3.22776,1.37799,-1.3645,0.079172
2555,3.21714,-3.22776,1.37667,-1.36593,0.0792738
2556,2.92485,-2.95812,1.37584,-1.36734,0.0793612
2557,2.92485,-2.95812,1.36998,-1.36371,0.0794227
2558,3.22485,-3.25812,1.36534,-1.36088,0.0794244
2559,3.22485,-3.25812,1.36711,-1.36411,0.079403
2560,2.92485,-2.96678,1.3685,-1.36669,0.0794115
2561,2.92485,-2.96678,1.36413,-1.36343,0.0794231
2562,3.21875,-3.26678,1.36058,-1.36079,0.0793921
2563,3.21875,-3.26678,1.36304,-1.3641,0.0793496
2564,3.51875,-3.56678,1.36495,-1.3667,0.0793442
2565,3.51875,-3.56678,1.37205,-1.37435,0.0793809
2566,3.21875,-3.26678,1.37795,-1.3807,0.0794912
2567,3.21875,-3.26678,1.37749,-1.38061,0.0796336
2568,2.97364,-3.00576,1.37746,-1.38087,0.0797521
2569,2.97364,-3.00576,1.3732,-1.37655,0.0798398
2570,3.27364,-3.30576,1.36992,-1.37323,0.0798687
2571,3.27364,-3.30576,1.37285,-1.37613,0.0798752
2572,3.24058,-3.26811,1.37527,-1.37852,0.0799119
2573,3.24058,-3.26811,1.37672,-1.37986,0.0799669
2574,2.96649,-2.99205,1.37804,-1.38109,0.0800287
2575,2.96649,-2.99205,1.3742,-1.37715,0.0800793
2576,3.26649,-3.29205,1.37119,-1.37404,0.0800808
2577,3.26649,-3.29205,1.37426,-1.37705,0.0800665
2578,2.9696,-2.99532,1.37675,-1.37948,0.0800869
2579,2.9696,-2.99532,1.37334,-1.37603,0.0801136
2580,2.98913,-3.01545,1.37062,-1.37327,0.0800996
2581,2.98913,-3.01545,1.36872,-1.37136,0.0800596
2582,3.28913,-3.31545,1.36707,-1.36969,0.080005
2583,3.28913,-3.31545,1.37114,-1.37375,0.0799579
2584,3.28224,-3.30911,1.37435,-1.37695,0.0799611
2585,3.28224,-3.30911,1.37685,-1.37945,0.0799979
2586,3.02284,-3.04995,1.37899,-1.38159,0.080056
2587,3.02284,-3.04995,1.37608,-1.3787,0.0801137
2588,3.32284,-3.34995,1.37385,-1.37646,0.0801318
2589,3.32284,-3.34995,1.37761,-1.38023,0.0801404
2590,3.02284,-3.04995,1.3807,-1.38332,0.080188
2591,3.02284,-3.04995,1.3778,-1.38043,0.0802446
2592,3.03023,-3.05762,1.37557,-1.3782,0.0802618
2593,3.03023,-3.05762,1.37392,-1.37655,0.080253
2594,3.33023,-3.35762,1.37255,-1.37519,0.0802279
2595,3.33023,-3.35762,1.37691,-1.37956,0.080209
2596,3.31762,-3.05762,1.38043,-1.38308,0.0802397
2597,3.31762,-3.05762,1.38315,-1.3805,0.0802946
2598,3.0546,-3.35762,1.38549,-1.37854,0.0803421
2599,3.0546,-3.35762,1.38264,-1.3826,0.0803857
2600,3.3546,-3.65762,1.38044,-1.38601,0.0804294
